                       STATION NAME                  DATE           PRCP      TMAX      TMIN
                   MUSCLE SHOALS WATER PLANT AL      2018 03 01     1.45      44.24     41.54
                   MUSCLE SHOALS WATER PLANT AL      2018 03 02     0.43      43.16     39.02
                   MUSCLE SHOALS WATER PLANT AL      2018 03 03     0.01      42.44     38.30
                   MUSCLE SHOALS WATER PLANT AL      2018 03 04     0.00      43.16     38.12
                   MUSCLE SHOALS WATER PLANT AL      2018 03 05     0.07      44.24     38.12
                   MUSCLE SHOALS WATER PLANT AL      2018 03 06     0.15      42.98     40.82
                   MUSCLE SHOALS WATER PLANT AL      2018 03 07     0.00      43.70     38.30
                   MUSCLE SHOALS WATER PLANT AL      2018 03 08     0.00      40.28     37.22
                   MUSCLE SHOALS WATER PLANT AL      2018 03 09     0.00      40.64     36.86
                   MUSCLE SHOALS WATER PLANT AL      2018 03 10     0.00      43.34     37.04
                   MUSCLE SHOALS WATER PLANT AL      2018 03 12     0.08      42.62     38.30
                   MUSCLE SHOALS WATER PLANT AL      2018 03 13     0.00      41.72     37.58
                   MUSCLE SHOALS WATER PLANT AL      2018 03 14     0.00      41.90     37.22
                   MUSCLE SHOALS WATER PLANT AL      2018 03 15     0.00      41.36     37.22
                   MUSCLE SHOALS WATER PLANT AL      2018 03 16     0.00      44.42     37.22
                   MUSCLE SHOALS WATER PLANT AL      2018 03 17     0.00      44.24     39.56
                   MUSCLE SHOALS WATER PLANT AL      2018 03 18     0.00      46.22     40.46
                   MUSCLE SHOALS WATER PLANT AL      2018 03 19     0.02      42.98     40.46
                   MUSCLE SHOALS WATER PLANT AL      2018 03 20     0.26      44.24     40.28
                   MUSCLE SHOALS WATER PLANT AL      2018 03 22     0.00      41.54     37.40
                   MUSCLE SHOALS WATER PLANT AL      2018 03 23     0.01      42.80     37.58
                   MUSCLE SHOALS WATER PLANT AL      2018 03 24     0.00      42.80     39.74
                   MUSCLE SHOALS WATER PLANT AL      2018 03 25     0.49      44.06     41.72
                   MUSCLE SHOALS WATER PLANT AL      2018 03 26     0.01      43.34     40.64
                   MUSCLE SHOALS WATER PLANT AL      2018 03 27     0.00      42.08     40.82
                   MUSCLE SHOALS WATER PLANT AL      2018 03 28     0.00      44.96     40.64
                   MUSCLE SHOALS WATER PLANT AL      2018 03 29     1.24      45.50     42.44
                   MUSCLE SHOALS WATER PLANT AL      2018 03 30     0.43      43.16     41.00
                   MUSCLE SHOALS WATER PLANT AL      2018 03 31     0.02      43.16     38.48
                                 VALLEY HEAD AL      2018 03 01     0.56      43.52     40.82
                                 VALLEY HEAD AL      2018 03 02     0.00      43.16     37.40
                                 VALLEY HEAD AL      2018 03 03     0.00      42.80     37.04
                                 VALLEY HEAD AL      2018 03 04     0.00      44.24     38.12
                                 VALLEY HEAD AL      2018 03 05     0.00      41.90     39.74
                                 VALLEY HEAD AL      2018 03 06     0.22      43.52     40.46
                                 VALLEY HEAD AL      2018 03 07     0.00      40.64     38.66
                                 VALLEY HEAD AL      2018 03 08     0.00      40.10     36.86
                                 VALLEY HEAD AL      2018 03 09     0.00      42.26     35.78
                                 VALLEY HEAD AL      2018 03 10     0.62      42.26     37.58
                                 VALLEY HEAD AL      2018 03 11     0.71      42.44     40.28
                                 VALLEY HEAD AL      2018 03 12     0.00      40.82     38.30
                                 VALLEY HEAD AL      2018 03 13     0.00      41.36     36.86
                                 VALLEY HEAD AL      2018 03 14     0.00      40.64     36.68
                                 VALLEY HEAD AL      2018 03 15     0.00      43.52     36.32
                                 VALLEY HEAD AL      2018 03 16     0.00      44.24     37.94
                                 VALLEY HEAD AL      2018 03 17     0.11      45.32     40.64
                                 VALLEY HEAD AL      2018 03 18     0.04      43.88     39.56
                                 VALLEY HEAD AL      2018 03 19     0.09      42.98     41.18
                                 VALLEY HEAD AL      2018 03 20     0.01      42.44     38.48
                                 VALLEY HEAD AL      2018 03 21     0.01      40.82     37.40
                                 VALLEY HEAD AL      2018 03 22     0.00      42.08     36.50
                                 VALLEY HEAD AL      2018 03 23     0.00      43.34     37.58
                                 VALLEY HEAD AL      2018 03 24     0.12      43.88     40.64
                                 VALLEY HEAD AL      2018 03 25     0.00      42.80     40.46
                                 VALLEY HEAD AL      2018 03 26     0.00      40.46     39.74
                                 VALLEY HEAD AL      2018 03 27     0.00      42.80     39.56
                                 VALLEY HEAD AL      2018 03 28     0.00      45.50     41.18
                                 VALLEY HEAD AL      2018 03 29     0.86      45.32     42.08
                                 VALLEY HEAD AL      2018 03 30     0.00      42.44     38.48
                                 VALLEY HEAD AL      2018 03 31     0.00      43.70     37.58
                                   MOULTON 2 AL      2018 03 01     0.88      44.06     41.90
                                   MOULTON 2 AL      2018 03 02     0.19      42.98     39.02
                                   MOULTON 2 AL      2018 03 03     0.00      42.08     37.40
                                   MOULTON 2 AL      2018 03 04     0.00      42.80     37.58
                                   MOULTON 2 AL      2018 03 05     0.13      44.24     38.84
                                   MOULTON 2 AL      2018 03 06     0.00      42.80     40.64
                                   MOULTON 2 AL      2018 03 07     0.00      43.34     38.30
                                   MOULTON 2 AL      2018 03 08     0.00      43.34     36.86
                                   MOULTON 2 AL      2018 03 09     0.00      40.46     36.50
                                   MOULTON 2 AL      2018 03 10     0.10      43.34     38.12
                                   MOULTON 2 AL      2018 03 11     0.71      42.62     41.00
                                   MOULTON 2 AL      2018 03 12     0.09      42.44     38.12
                                   MOULTON 2 AL      2018 03 13     0.00      41.36     37.04
                                   MOULTON 2 AL      2018 03 14     0.00      41.72     37.04
                                   MOULTON 2 AL      2018 03 15     0.00      41.00     36.86
                                   MOULTON 2 AL      2018 03 16     0.00      44.06     37.58
                                   MOULTON 2 AL      2018 03 17     0.11      43.88     39.56
                                   MOULTON 2 AL      2018 03 18     0.00      45.86     40.64
                                   MOULTON 2 AL      2018 03 19     0.25      43.16     40.64
                                   MOULTON 2 AL      2018 03 20     0.89      45.14     40.64
                                   MOULTON 2 AL      2018 03 21     0.00      41.00     37.76
                                   MOULTON 2 AL      2018 03 22     0.00      41.00     37.22
                                   MOULTON 2 AL      2018 03 23     0.02      42.44     37.76
                                   MOULTON 2 AL      2018 03 24     0.01      42.80     39.38
                                   MOULTON 2 AL      2018 03 25     0.26      44.42     42.08
                                   MOULTON 2 AL      2018 03 26     0.00      43.34     40.82
                                   MOULTON 2 AL      2018 03 27     0.00      41.90     40.28
                                   MOULTON 2 AL      2018 03 28     0.00      43.70     40.28
                                   MOULTON 2 AL      2018 03 29     0.48      44.96     42.62
                                   MOULTON 2 AL      2018 03 30     0.60      44.96     40.82
                                   MOULTON 2 AL      2018 03 31     0.00      42.62     38.30
                                  ALICEVILLE AL      2018 03 01     0.35      46.04     41.72
                                  ALICEVILLE AL      2018 03 02     0.00      42.98     40.64
                                  ALICEVILLE AL      2018 03 03     0.00      43.34     37.58
                                  ALICEVILLE AL      2018 03 04     0.00      44.24     39.74
